name,team_label,games,wins,losses
Mike Woodson,ATL,82,13,69
Doc Rivers,BOS,82,45,37
Bernie Bickerstaff,CHA,82,18,64
Scott Skiles,CHI,82,47,35
Paul Silas,CLE,64,34,30
Brendan Malone,CLE,18,8,10
Don Nelson,DAL,64,42,22
Avery Johnson,DAL,18,16,2
Jeff Bzdelik,DEN,28,13,15
Michael Cooper,DEN,14,4,10
George Karl,DEN,40,32,8
Larry Brown,DET,82,54,28
Mike Montgomery,GSW,82,34,48
Jeff Van Gundy,HOU,82,51,31
Rick Carlisle,IND,82,44,38
Mike Dunleavy,LAC,82,37,45
Rudy Tomjanovich,LAL,43,24,19
Frank Hamblen,LAL,39,10,29
Hubie Brown,MEM,12,5,7
Lionel Hollins,MEM,4,0,4
Mike Fratello,MEM,66,40,26
Stan Van Gundy,MIA,82,59,23
Terry Porter,MIL,82,30,52
Flip Saunders,MIN,51,25,26
Kevin McHale,MIN,31,19,12
Lawrence Frank,NJN,82,42,40
Byron Scott,NOH,82,18,64
Lenny Wilkens,NYK,39,17,22
Herb Williams,NYK,43,16,27
Johnny Davis,ORL,64,31,33
Chris Jent,ORL,18,5,13
Jim O'Brien,PHI,82,43,39
Mike D'Antoni,PHX,82,62,20
Maurice Cheeks,POR,55,22,33
Kevin Pritchard,POR,27,5,22
Rick Adelman,SAC,82,50,32
Gregg Popovich,SAS,82,59,23
Nate McMillan,SEA,82,52,30
Sam Mitchell,TOR,82,33,49
Jerry Sloan,UTA,82,26,56
Eddie Jordan,WAS,82,45,37
